Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
,Angola,-11.2027,17.8739,2020/2/28,0
,Angola,-11.2027,17.8739,2020/2/27,0
,Angola,-11.2027,17.8739,2020/2/26,0
,Angola,-11.2027,17.8739,2020/2/25,0
,Angola,-11.2027,17.8739,2020/2/24,0
,Angola,-11.2027,17.8739,2020/2/23,0
,Angola,-11.2027,17.8739,2020/2/22,0
,Angola,-11.2027,17.8739,2020/2/21,0
,Angola,-11.2027,17.8739,2020/2/20,0
,Angola,-11.2027,17.8739,2020/2/19,0
,Angola,-11.2027,17.8739,2020/2/18,0
,Angola,-11.2027,17.8739,2020/2/17,0
,Angola,-11.2027,17.8739,2020/2/16,0
,Angola,-11.2027,17.8739,2020/2/15,0
,Angola,-11.2027,17.8739,2020/2/14,0
,Angola,-11.2027,17.8739,2020/2/13,0
,Angola,-11.2027,17.8739,2020/2/12,0
,Angola,-11.2027,17.8739,2020/2/11,0
,Angola,-11.2027,17.8739,2020/2/10,0
,Angola,-11.2027,17.8739,2020/2/9,0
,Angola,-11.2027,17.8739,2020/2/8,0
,Angola,-11.2027,17.8739,2020/2/7,0
,Angola,-11.2027,17.8739,2020/2/6,0
,Angola,-11.2027,17.8739,2020/2/5,0
,Angola,-11.2027,17.8739,2020/2/4,0
,Angola,-11.2027,17.8739,2020/2/3,0
,Angola,-11.2027,17.8739,2020/2/2,0
,Angola,-11.2027,17.8739,2020/2/1,0
,Angola,-11.2027,17.8739,2020/1/31,0
,Angola,-11.2027,17.8739,2020/1/30,0
,Angola,-11.2027,17.8739,2020/1/29,0
,Angola,-11.2027,17.8739,2020/1/28,0
,Angola,-11.2027,17.8739,2020/1/27,0
,Angola,-11.2027,17.8739,2020/1/26,0
,Angola,-11.2027,17.8739,2020/1/25,0
,Angola,-11.2027,17.8739,2020/1/24,0
,Angola,-11.2027,17.8739,2020/1/23,0
,Angola,-11.2027,17.8739,2020/1/22,0
,Antigua and Barbuda,17.0608,-61.7964,2020/3/21,1
,Antigua and Barbuda,17.0608,-61.7964,2020/3/20,1
,Antigua and Barbuda,17.0608,-61.7964,2020/3/19,1
,Antigua and Barbuda,17.0608,-61.7964,2020/3/18,1
,Antigua and Barbuda,17.0608,-61.7964,2020/3/17,1
,Antigua and Barbuda,17.0608,-61.7964,2020/3/16,1
,Antigua and Barbuda,17.0608,-61.7964,2020/3/15,1
,Antigua and Barbuda,17.0608,-61.7964,2020/3/14,1
,Antigua and Barbuda,17.0608,-61.7964,2020/3/13,1
,Antigua and Barbuda,17.0608,-61.7964,2020/3/12,0
,Antigua and Barbuda,17.0608,-61.7964,2020/3/11,0
,Antigua and Barbuda,17.0608,-61.7964,2020/3/10,0
,Antigua and Barbuda,17.0608,-61.7964,2020/3/9,0
,Antigua and Barbuda,17.0608,-61.7964,2020/3/8,0
,Antigua and Barbuda,17.0608,-61.7964,2020/3/7,0
,Antigua and Barbuda,17.0608,-61.7964,2020/3/6,0
,Antigua and Barbuda,17.0608,-61.7964,2020/3/5,0
,Antigua and Barbuda,17.0608,-61.7964,2020/3/4,0
,Antigua and Barbuda,17.0608,-61.7964,2020/3/3,0
,Antigua and Barbuda,17.0608,-61.7964,2020/3/2,0
,Antigua and Barbuda,17.0608,-61.7964,2020/3/1,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/29,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/28,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/27,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/26,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/25,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/24,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/23,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/22,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/21,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/20,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/19,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/18,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/17,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/16,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/15,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/14,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/13,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/12,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/11,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/10,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/9,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/8,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/7,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/6,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/5,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/4,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/3,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/2,0
,Antigua and Barbuda,17.0608,-61.7964,2020/2/1,0
,Antigua and Barbuda,17.0608,-61.7964,2020/1/31,0
,Antigua and Barbuda,17.0608,-61.7964,2020/1/30,0
,Antigua and Barbuda,17.0608,-61.7964,2020/1/29,0
,Antigua and Barbuda,17.0608,-61.7964,2020/1/28,0
,Antigua and Barbuda,17.0608,-61.7964,2020/1/27,0
,Antigua and Barbuda,17.0608,-61.7964,2020/1/26,0
,Antigua and Barbuda,17.0608,-61.7964,2020/1/25,0
,Antigua and Barbuda,17.0608,-61.7964,2020/1/24,0
,Antigua and Barbuda,17.0608,-61.7964,2020/1/23,0
,Antigua and Barbuda,17.0608,-61.7964,2020/1/22,0
,Argentina,-38.4161,-63.6167,2020/3/21,158
,Argentina,-38.4161,-63.6167,2020/3/20,128
,Argentina,-38.4161,-63.6167,2020/3/19,97
,Argentina,-38.4161,-63.6167,2020/3/18,79
,Argentina,-38.4161,-63.6167,2020/3/17,68
,Argentina,-38.4161,-63.6167,2020/3/16,56
,Argentina,-38.4161,-63.6167,2020/3/15,45
,Argentina,-38.4161,-63.6167,2020/3/14,34
,Argentina,-38.4161,-63.6167,2020/3/13,31
,Argentina,-38.4161,-63.6167,2020/3/12,19
,Argentina,-38.4161,-63.6167,2020/3/11,19
,Argentina,-38.4161,-63.6167,2020/3/10,17
,Argentina,-38.4161,-63.6167,2020/3/9,12
,Argentina,-38.4161,-63.6167,2020/3/8,12
,Argentina,-38.4161,-63.6167,2020/3/7,8
,Argentina,-38.4161,-63.6167,2020/3/6,2
,Argentina,-38.4161,-63.6167,2020/3/5,1
,Argentina,-38.4161,-63.6167,2020/3/4,1
,Argentina,-38.4161,-63.6167,2020/3/3,1
,Argentina,-38.4161,-63.6167,2020/3/2,0
,Argentina,-38.4161,-63.6167,2020/3/1,0
,Argentina,-38.4161,-63.6167,2020/2/29,0
,Argentina,-38.4161,-63.6167,2020/2/28,0
,Argentina,-38.4161,-63.6167,2020/2/27,0
,Argentina,-38.4161,-63.6167,2020/2/26,0
,Argentina,-38.4161,-63.6167,2020/2/25,0
,Argentina,-38.4161,-63.6167,2020/2/24,0
,Argentina,-38.4161,-63.6167,2020/2/23,0
,Argentina,-38.4161,-63.6167,2020/2/22,0
,Argentina,-38.4161,-63.6167,2020/2/21,0
,Argentina,-38.4161,-63.6167,2020/2/20,0
,Argentina,-38.4161,-63.6167,2020/2/19,0
,Argentina,-38.4161,-63.6167,2020/2/18,0
,Argentina,-38.4161,-63.6167,2020/2/17,0
,Argentina,-38.4161,-63.6167,2020/2/16,0
,Argentina,-38.4161,-63.6167,2020/2/15,0
,Argentina,-38.4161,-63.6167,2020/2/14,0
,Argentina,-38.4161,-63.6167,2020/2/13,0
,Argentina,-38.4161,-63.6167,2020/2/12,0
,Argentina,-38.4161,-63.6167,2020/2/11,0
,Argentina,-38.4161,-63.6167,2020/2/10,0
,Argentina,-38.4161,-63.6167,2020/2/9,0
,Argentina,-38.4161,-63.6167,2020/2/8,0
,Argentina,-38.4161,-63.6167,2020/2/7,0
,Argentina,-38.4161,-63.6167,2020/2/6,0
,Argentina,-38.4161,-63.6167,2020/2/5,0
,Argentina,-38.4161,-63.6167,2020/2/4,0
,Argentina,-38.4161,-63.6167,2020/2/3,0
,Argentina,-38.4161,-63.6167,2020/2/2,0
,Argentina,-38.4161,-63.6167,2020/2/1,0
,Argentina,-38.4161,-63.6167,2020/1/31,0
,Argentina,-38.4161,-63.6167,2020/1/30,0
,Argentina,-38.4161,-63.6167,2020/1/29,0
,Argentina,-38.4161,-63.6167,2020/1/28,0
,Argentina,-38.4161,-63.6167,2020/1/27,0
,Argentina,-38.4161,-63.6167,2020/1/26,0
,Argentina,-38.4161,-63.6167,2020/1/25,0
,Argentina,-38.4161,-63.6167,2020/1/24,0
,Argentina,-38.4161,-63.6167,2020/1/23,0
,Argentina,-38.4161,-63.6167,2020/1/22,0
,Armenia,40.0691,45.0382,2020/3/21,160
,Armenia,40.0691,45.0382,2020/3/20,136
,Armenia,40.0691,45.0382,2020/3/19,115
,Armenia,40.0691,45.0382,2020/3/18,84
,Armenia,40.0691,45.0382,2020/3/17,78
,Armenia,40.0691,45.0382,2020/3/16,52
,Armenia,40.0691,45.0382,2020/3/15,26
,Armenia,40.0691,45.0382,2020/3/14,18
,Armenia,40.0691,45.0382,2020/3/13,8
,Armenia,40.0691,45.0382,2020/3/12,4
,Armenia,40.0691,45.0382,2020/3/11,1
,Armenia,40.0691,45.0382,2020/3/10,1
,Armenia,40.0691,45.0382,2020/3/9,1
,Armenia,40.0691,45.0382,2020/3/8,1
,Armenia,40.0691,45.0382,2020/3/7,1
,Armenia,40.0691,45.0382,2020/3/6,1
,Armenia,40.0691,45.0382,2020/3/5,1
,Armenia,40.0691,45.0382,2020/3/4,1
,Armenia,40.0691,45.0382,2020/3/3,1
,Armenia,40.0691,45.0382,2020/3/2,1
,Armenia,40.0691,45.0382,2020/3/1,1
,Armenia,40.0691,45.0382,2020/2/29,0
,Armenia,40.0691,45.0382,2020/2/28,0
,Armenia,40.0691,45.0382,2020/2/27,0
,Armenia,40.0691,45.0382,2020/2/26,0
,Armenia,40.0691,45.0382,2020/2/25,0
,Armenia,40.0691,45.0382,2020/2/24,0
,Armenia,40.0691,45.0382,2020/2/23,0
,Armenia,40.0691,45.0382,2020/2/22,0
,Armenia,40.0691,45.0382,2020/2/21,0
,Armenia,40.0691,45.0382,2020/2/20,0
,Armenia,40.0691,45.0382,2020/2/19,0
,Armenia,40.0691,45.0382,2020/2/18,0
,Armenia,40.0691,45.0382,2020/2/17,0
,Armenia,40.0691,45.0382,2020/2/16,0
,Armenia,40.0691,45.0382,2020/2/15,0
,Armenia,40.0691,45.0382,2020/2/14,0
,Armenia,40.0691,45.0382,2020/2/13,0
,Armenia,40.0691,45.0382,2020/2/12,0
,Armenia,40.0691,45.0382,2020/2/11,0
,Armenia,40.0691,45.0382,2020/2/10,0
,Armenia,40.0691,45.0382,2020/2/9,0
,Armenia,40.0691,45.0382,2020/2/8,0
,Armenia,40.0691,45.0382,2020/2/7,0
,Armenia,40.0691,45.0382,2020/2/6,0
,Armenia,40.0691,45.0382,2020/2/5,0
,Armenia,40.0691,45.0382,2020/2/4,0
,Armenia,40.0691,45.0382,2020/2/3,0
,Armenia,40.0691,45.0382,2020/2/2,0
,Armenia,40.0691,45.0382,2020/2/1,0
,Armenia,40.0691,45.0382,2020/1/31,0
,Armenia,40.0691,45.0382,2020/1/30,0
,Armenia,40.0691,45.0382,2020/1/29,0
,Armenia,40.0691,45.0382,2020/1/28,0
,Armenia,40.0691,45.0382,2020/1/27,0
,Armenia,40.0691,45.0382,2020/1/26,0
,Armenia,40.0691,45.0382,2020/1/25,0
,Armenia,40.0691,45.0382,2020/1/24,0
,Armenia,40.0691,45.0382,2020/1/23,0
,Armenia,40.0691,45.0382,2020/1/22,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/21,9
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/20,6
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/19,4
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/18,3
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/17,2
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/16,2
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/15,1
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/14,1
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/13,1
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/12,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/11,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/10,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/9,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/8,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/7,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/6,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/5,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/4,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/3,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/2,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/3/1,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/29,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/28,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/27,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/26,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/25,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/24,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/23,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/22,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/21,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/20,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/19,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/18,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/17,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/16,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/15,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/14,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/13,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/12,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/11,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/10,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/9,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/8,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/7,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/6,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020/2/5,0
